pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w
0.08437150716781616,1.0525465768296272e-05,1.0525465768296272e-05,-5.3854892030358315e-05,-0.0038502374663949013,0.0001256982795894146,0.9999926090240479
0.10478651523590088,1.548418731545098e-05,1.548418731545098e-05,-5.108979530632496e-05,-0.003684795228764415,0.00014374777674674988,0.9999932050704956
0.12760640680789948,2.1754216504632495e-05,2.1754216504632495e-05,-5.0298869609832764e-05,-0.0035734910052269697,0.00016168085858225822,0.999993622303009
0.1528821885585785,2.962857615784742e-05,2.962857615784742e-05,-5.130236968398094e-05,-0.004081987775862217,0.00017958460375666618,0.9999916553497314
0.18061769008636475,3.936698703910224e-05,3.936698703910224e-05,-5.244067870080471e-05,-0.005252528935670853,0.00019675050862133503,0.9999861717224121
0.21074219048023224,5.10369281983003e-05,5.10369281983003e-05,-5.3262803703546524e-05,-0.006301030982285738,0.00021386169828474522,0.9999802112579346
0.24320675432682037,6.475851841969416e-05,6.475851841969416e-05,-5.334918387234211e-05,-0.006685059517621994,0.00023093679919838905,0.9999776482582092
0.27800214290618896,8.065038855420426e-05,8.065038855420426e-05,-5.2667222917079926e-05,-0.0063024163246154785,0.00024813925847411156,0.9999802112579346
0.3151576519012451,9.886574116535485e-05,9.886574116535485e-05,-5.1466282457113266e-05,-0.005477311089634895,0.00026541901752352715,0.9999849200248718
0.3547191321849823,0.00011957182141486555,0.00011957182141486555,-5.019293166697025e-05,-0.004718880634754896,0.00028258655220270157,0.9999887943267822
0.39672213792800903,0.00014295672008302063,0.00014295672008302063,-4.9431342631578445e-05,-0.0044203996658325195,0.00029939855448901653,0.9999902248382568
0.44116562604904175,0.00016919587505981326,0.00016919587505981326,-4.936894401907921e-05,-0.004660052713006735,0.0003159369807690382,0.9999890923500061
0.48779454827308655,0.00019852511468343437,0.00019852511468343437,-4.6090688556432724e-05,-0.004791636019945145,0.0003311729524284601,0.9999885559082031
0.5362271666526794,0.00023054891789797693,0.00023054891789797693,-3.795744851231575e-05,-0.0039040977135300636,0.0003442515153437853,0.999992311000824
0.5862379670143127,0.0002647475339472294,0.0002647475339472294,-2.816971391439438e-05,-0.002414325950667262,0.0003554336726665497,0.9999969601631165
0.6375871896743774,0.00030082499142736197,0.00030082499142736197,-1.9451836124062538e-05,-0.0009345944272354245,0.00036450522020459175,0.9999995231628418
0.6900402307510376,0.00033856037771329284,0.00033856037771329284,-1.3281591236591339e-05,-9.931463864631951e-06,0.00037147942930459976,0.9999999403953552
0.7433213591575623,0.00037772810901515186,0.00037772810901515186,-8.919043466448784e-06,0.00017624101019464433,0.0003763851709663868,0.9999999403953552
0.7971263527870178,0.0004179843235760927,0.0004179843235760927,-4.795147106051445e-06,-0.00015520633314736187,0.00037936330772936344,0.9999998807907104
